dialog,image,k,blur,line,tamil_dialog
"Alright, team. This college festival is our golden opportunity!",Panel001.jpeg,7,3,5,"சரி, குழு. இந்த கல்லூரி விழா நமக்கு கிடைத்த பொன்னான வாய்ப்பு!"
We’re going to be famous! Chai for days!,Panel002.jpeg,9,3,5,"'""நாம் பிரபலமாகப் போகிறோம்! நாட்கள் சாய்!""'"
I just hope we’re not arrested for this. Do we even have a permit?,Panel003.jpeg,6,3,5,"'""இதற்காக நாங்கள் கைது செய்யப்பட மாட்டோம் என்று நம்புகிறேன். எங்களிடம் அனுமதி கூட இருக்கிறதா?""'"
Permits? Overrated. We’ve got chai. Same thing.,Panel004.jpeg,7,3,5,"'""அனுமதிகள்? மிகைப்படுத்தப்பட்டது. எங்களுக்கு சாய் கிடைத்தது. அதே விஷயம்.""'"
"This is going to end badly, isn’t it?",Panel005.jpeg,9,3,5,"இது மோசமாக முடிவடையும், இல்லையா?"
“But they pressed on. Who could resist chai?”,Panel006.jpeg,6,3,5,"'""ஆனால் அவர்கள் அழுத்தினார்கள். சாயை யார் எதிர்க்க முடியும்?""'"
"Picture it. Crowds of people, all desperate for a taste of home!",Panel007.jpeg,7,3,5,"“அதை படம். திரளான மக்கள், அனைவரும் வீட்டை சுவைக்க ஆசைப்படுகிறார்கள்!”"
"Yeah, or desperate to avoid us when we’re fined.",Panel008.jpeg,5,3,5,"“ஆம், அல்லது அபராதம் விதிக்கப்படும்போது எங்களைத் தவிர்க்க ஆசைப்படுகிறோம்.”"
"Let’s make it happen, team. Boston’s not ready for this level of chai.",Panel009.jpeg,5,3,5,"“அதை நிறைவேற்றுவோம், அணி. பாஸ்டன் இந்த அளவிலான சாய்க்கு தயாராக இல்லை.”"
Akash Arokianathan - 002326715,Panel010.jpeg,12,3,5,Akash Arokianathan - 002326715
