Country/area,Other_2019,Other_2021,AlcoholicBeverages_2019,AlcoholicBeverages_2021,Sugar_2019,Sugar_2021,OilsAndFats_2019,OilsAndFats_2021,Meat_2019,Meat_2021,DairyAndEggs_2019,DairyAndEggs_2021,FruitsAndVeg_2019,FruitsAndVeg_2021,StarchyRoots_2019,StarchyRoots_2021,Pulses_2019,Pulses_2021,CerealsAndGrains_2019,CerealsAndGrains_2021
Afghanistan,9.00 kcal,10.00 kcal,0.00 kcal,0.00 kcal,156.00 kcal,132.00 kcal,247.00 kcal,246.00 kcal,42.00 kcal,45.00 kcal,93.00 kcal,94.00 kcal,106.00 kcal,104.00 kcal,47.00 kcal,39.00 kcal,17.00 kcal,16.00 kcal,"1,511.00 kcal","1,512.00 kcal"
Albania,67.00 kcal,68.00 kcal,50.00 kcal,50.00 kcal,213.00 kcal,246.00 kcal,387.00 kcal,379.00 kcal,229.00 kcal,261.00 kcal,729.00 kcal,695.00 kcal,530.00 kcal,580.00 kcal,84.00 kcal,87.00 kcal,47.00 kcal,47.00 kcal,"1,039.00 kcal",985.00 kcal
Algeria,30.00 kcal,27.00 kcal,6.00 kcal,5.00 kcal,297.00 kcal,295.00 kcal,572.00 kcal,616.00 kcal,109.00 kcal,99.00 kcal,286.00 kcal,276.00 kcal,412.00 kcal,393.00 kcal,117.00 kcal,109.00 kcal,61.00 kcal,61.00 kcal,"1,590.00 kcal","1,616.00 kcal"
Angola,13.00 kcal,15.00 kcal,79.00 kcal,73.00 kcal,140.00 kcal,132.00 kcal,336.00 kcal,314.00 kcal,139.00 kcal,127.00 kcal,12.00 kcal,16.00 kcal,129.00 kcal,129.00 kcal,774.00 kcal,810.00 kcal,69.00 kcal,67.00 kcal,735.00 kcal,705.00 kcal
Antigua and Barbuda,90.99 kcal,66.99 kcal,137.99 kcal,126.99 kcal,240.98 kcal,264.97 kcal,389.97 kcal,418.96 kcal,435.97 kcal,437.96 kcal,186.99 kcal,198.98 kcal,271.98 kcal,211.98 kcal,42.00 kcal,51.99 kcal,27.00 kcal,5.00 kcal,630.95 kcal,622.94 kcal
Argentina,55.00 kcal,59.00 kcal,113.00 kcal,111.00 kcal,452.00 kcal,382.00 kcal,498.00 kcal,592.00 kcal,557.00 kcal,578.00 kcal,293.00 kcal,326.00 kcal,147.00 kcal,145.00 kcal,84.00 kcal,90.00 kcal,52.00 kcal,76.00 kcal,"1,020.00 kcal",981.00 kcal
Armenia,106.00 kcal,100.00 kcal,28.00 kcal,29.00 kcal,323.00 kcal,307.00 kcal,451.00 kcal,440.00 kcal,310.00 kcal,314.00 kcal,463.00 kcal,469.00 kcal,278.00 kcal,301.00 kcal,122.00 kcal,120.00 kcal,23.00 kcal,26.00 kcal,"1,126.00 kcal","1,112.00 kcal"
Australia,121.00 kcal,106.00 kcal,164.00 kcal,211.00 kcal,418.00 kcal,419.00 kcal,829.00 kcal,780.00 kcal,496.00 kcal,482.00 kcal,435.00 kcal,401.00 kcal,176.00 kcal,186.00 kcal,95.00 kcal,98.00 kcal,53.00 kcal,81.00 kcal,715.00 kcal,690.00 kcal
Austria,46.00 kcal,37.00 kcal,202.00 kcal,207.00 kcal,416.00 kcal,372.00 kcal,"1,164.00 kcal","1,178.00 kcal",374.00 kcal,353.00 kcal,388.00 kcal,447.00 kcal,216.00 kcal,209.00 kcal,102.00 kcal,90.00 kcal,15.00 kcal,16.00 kcal,890.00 kcal,908.00 kcal
Azerbaijan,58.00 kcal,67.00 kcal,153.00 kcal,170.00 kcal,257.00 kcal,254.00 kcal,376.00 kcal,433.00 kcal,180.00 kcal,188.00 kcal,305.00 kcal,315.00 kcal,240.00 kcal,253.00 kcal,141.00 kcal,145.00 kcal,5.00 kcal,7.00 kcal,"1,553.00 kcal","1,550.00 kcal"
Bahamas,156.00 kcal,166.00 kcal,125.00 kcal,126.00 kcal,334.00 kcal,289.99 kcal,373.00 kcal,388.99 kcal,452.00 kcal,533.99 kcal,195.00 kcal,186.00 kcal,248.00 kcal,251.99 kcal,31.00 kcal,34.00 kcal,3.00 kcal,2.00 kcal,637.00 kcal,593.99 kcal
Bahrain,122.00 kcal,142.00 kcal,43.00 kcal,35.00 kcal,493.00 kcal,476.00 kcal,648.00 kcal,744.00 kcal,420.00 kcal,404.00 kcal,254.00 kcal,213.00 kcal,277.00 kcal,270.00 kcal,66.00 kcal,63.00 kcal,54.00 kcal,56.00 kcal,"1,103.00 kcal","1,087.00 kcal"
Bangladesh,27.00 kcal,42.00 kcal,0.00 kcal,0.00 kcal,79.00 kcal,83.00 kcal,203.00 kcal,204.00 kcal,72.00 kcal,70.00 kcal,52.00 kcal,55.00 kcal,76.00 kcal,94.00 kcal,92.00 kcal,91.00 kcal,72.00 kcal,84.00 kcal,"1,839.00 kcal","1,889.00 kcal"
Barbados,201.99 kcal,173.00 kcal,93.00 kcal,83.00 kcal,594.97 kcal,536.99 kcal,401.98 kcal,511.99 kcal,393.98 kcal,434.99 kcal,206.99 kcal,224.00 kcal,182.99 kcal,184.00 kcal,102.00 kcal,112.00 kcal,53.00 kcal,58.00 kcal,906.96 kcal,855.99 kcal
Belarus,88.00 kcal,91.00 kcal,191.00 kcal,198.00 kcal,290.00 kcal,391.00 kcal,639.00 kcal,600.00 kcal,400.00 kcal,421.00 kcal,344.00 kcal,358.00 kcal,209.00 kcal,206.00 kcal,304.00 kcal,274.00 kcal,8.00 kcal,9.00 kcal,820.00 kcal,771.00 kcal
Belgium,52.00 kcal,71.00 kcal,167.00 kcal,163.00 kcal,493.00 kcal,491.00 kcal,"1,145.00 kcal","1,125.00 kcal",279.00 kcal,298.00 kcal,492.00 kcal,507.00 kcal,237.00 kcal,277.00 kcal,159.00 kcal,164.00 kcal,35.00 kcal,48.00 kcal,789.00 kcal,749.00 kcal
Belize,110.00 kcal,130.00 kcal,110.00 kcal,106.00 kcal,402.00 kcal,349.99 kcal,545.00 kcal,502.99 kcal,322.00 kcal,313.99 kcal,186.00 kcal,231.00 kcal,129.00 kcal,89.00 kcal,41.00 kcal,52.00 kcal,63.00 kcal,38.00 kcal,955.99 kcal,"1,036.98 kcal"
Benin,71.00 kcal,101.00 kcal,75.00 kcal,75.00 kcal,112.00 kcal,86.00 kcal,399.00 kcal,458.00 kcal,96.00 kcal,94.00 kcal,28.00 kcal,20.00 kcal,84.00 kcal,86.00 kcal,737.00 kcal,727.00 kcal,92.00 kcal,86.00 kcal,992.00 kcal,"1,033.00 kcal"
Bermuda,,,,,,,,,,,,,,,,,,,,
Bhutan,109.00 kcal,119.00 kcal,80.00 kcal,82.00 kcal,168.00 kcal,145.00 kcal,312.00 kcal,377.00 kcal,94.00 kcal,77.00 kcal,292.00 kcal,309.00 kcal,75.00 kcal,76.00 kcal,129.00 kcal,128.00 kcal,49.00 kcal,65.00 kcal,"1,938.98 kcal","1,863.98 kcal"
Bolivia,41.00 kcal,40.00 kcal,48.00 kcal,42.00 kcal,276.00 kcal,276.00 kcal,252.00 kcal,198.00 kcal,340.00 kcal,338.00 kcal,102.00 kcal,98.00 kcal,163.00 kcal,160.00 kcal,216.00 kcal,217.00 kcal,52.00 kcal,43.00 kcal,931.00 kcal,949.00 kcal
Bosnia and Herzegovina,178.00 kcal,191.00 kcal,205.00 kcal,208.00 kcal,258.00 kcal,253.00 kcal,341.00 kcal,339.00 kcal,237.00 kcal,243.00 kcal,369.00 kcal,315.00 kcal,329.00 kcal,343.00 kcal,153.00 kcal,152.00 kcal,55.00 kcal,67.00 kcal,"1,216.00 kcal","1,259.00 kcal"
Botswana,95.00 kcal,103.00 kcal,201.00 kcal,175.00 kcal,248.00 kcal,251.00 kcal,320.00 kcal,355.00 kcal,96.00 kcal,122.00 kcal,238.00 kcal,286.00 kcal,74.00 kcal,89.00 kcal,113.00 kcal,114.00 kcal,7.00 kcal,30.00 kcal,"1,184.00 kcal","1,081.00 kcal"
