Country,Deaths_2019,Deaths_2021,Other_2019,Other_2021,AlcoholicBeverages_2019,AlcoholicBeverages_2021,Sugar_2019,Sugar_2021,OilsAndFats_2019,OilsAndFats_2021,Meat_2019,Meat_2021,DairyAndEggs_2019,DairyAndEggs_2021,FruitsAndVeg_2019,FruitsAndVeg_2021,StarchyRoots_2019,StarchyRoots_2021,Pulses_2019,Pulses_2021,CerealsAndGrains_2019,CerealsAndGrains_2021,Schizophrenia_2019,DepressiveDisorders_2019,AnxietyDisorders_2019,BipolarDisorder_2019,EatingDisorders_2019,Schizophrenia_2021,DepressiveDisorders_2021,AnxietyDisorders_2021,BipolarDisorder_2021,EatingDisorders_2021
Afghanistan,1833.0,1873.0,9.0,10.0,0.0,0.0,156.0,132.0,247.0,246.0,42.0,45.0,93.0,94.0,106.0,104.0,47.0,39.0,17.0,16.0,1511.0,1512.0,0.2,5.1,5.0,0.7,0.1,0.2,5.9,6.0,0.7,0.1
Albania,235.0,242.0,67.0,68.0,50.0,50.0,213.0,246.0,387.0,379.0,229.0,261.0,729.0,695.0,530.0,580.0,84.0,87.0,47.0,47.0,1039.0,985.0,0.2,2.5,3.5,0.5,0.2,0.2,3.0,4.6,0.5,0.2
Algeria,3797.0,3977.0,30.0,27.0,6.0,5.0,297.0,295.0,572.0,616.0,109.0,99.0,286.0,276.0,412.0,393.0,117.0,109.0,61.0,61.0,1590.0,1616.0,0.2,4.3,4.9,0.7,0.2,0.2,4.7,5.5,0.7,0.2
Angola,580.0,632.0,13.0,15.0,79.0,73.0,140.0,132.0,336.0,314.0,139.0,127.0,12.0,16.0,129.0,129.0,774.0,810.0,69.0,67.0,735.0,705.0,0.2,6.2,3.6,0.5,0.2,0.2,6.8,4.1,0.5,0.2
Antigua and Barbuda,11.0,11.0,90.99,66.99,137.99,126.99,240.98,264.97,389.97,418.96,435.97,437.96,186.99,198.98,271.98,211.98,42.0,51.99,27.0,5.0,630.95,622.94,0.2,2.9,4.3,0.8,0.3,0.2,3.4,5.2,0.8,0.3
Argentina,2367.0,2142.0,55.0,59.0,113.0,111.0,452.0,382.0,498.0,592.0,557.0,578.0,293.0,326.0,147.0,145.0,84.0,90.0,52.0,76.0,1020.0,981.0,0.3,2.6,5.0,0.7,0.4,0.3,3.2,6.3,0.7,0.4
Armenia,350.0,349.0,106.0,100.0,28.0,29.0,323.0,307.0,451.0,440.0,310.0,314.0,463.0,469.0,278.0,301.0,122.0,120.0,23.0,26.0,1126.0,1112.0,0.2,3.2,2.5,0.5,0.2,0.2,3.8,3.4,0.5,0.2
Australia,2484.0,2557.0,121.0,106.0,164.0,211.0,418.0,419.0,829.0,780.0,496.0,482.0,435.0,401.0,176.0,186.0,95.0,98.0,53.0,81.0,715.0,690.0,0.4,4.5,5.8,1.1,1.0,0.4,4.9,6.2,1.1,1.1
Austria,1218.0,1168.0,46.0,37.0,202.0,207.0,416.0,372.0,1164.0,1178.0,374.0,353.0,388.0,447.0,216.0,209.0,102.0,90.0,15.0,16.0,890.0,908.0,0.3,3.1,5.9,0.8,0.5,0.3,3.6,7.1,0.8,0.5
Azerbaijan,717.0,674.0,58.0,67.0,153.0,170.0,257.0,254.0,376.0,433.0,180.0,188.0,305.0,315.0,240.0,253.0,141.0,145.0,5.0,7.0,1553.0,1550.0,0.2,2.9,2.2,0.5,0.2,0.2,3.4,2.9,0.5,0.2
Bahamas,31.0,32.0,156.0,166.0,125.0,126.0,334.0,289.99,373.0,388.99,452.0,533.99,195.0,186.0,248.0,251.99,31.0,34.0,3.0,2.0,637.0,593.99,0.2,3.0,4.3,0.8,0.3,0.2,3.5,5.4,0.8,0.3
Bahrain,116.0,134.0,122.0,142.0,43.0,35.0,493.0,476.0,648.0,744.0,420.0,404.0,254.0,213.0,277.0,270.0,66.0,63.0,54.0,56.0,1103.0,1087.0,0.3,4.6,4.8,0.7,0.3,0.3,5.3,5.7,0.7,0.3
Bangladesh,6991.0,7587.0,27.0,42.0,0.0,0.0,79.0,83.0,203.0,204.0,72.0,70.0,52.0,55.0,76.0,94.0,92.0,91.0,72.0,84.0,1839.0,1889.0,0.3,4.8,3.1,0.4,0.1,0.3,5.4,3.7,0.4,0.1
Barbados,92.0,90.0,201.99,173.0,93.0,83.0,594.97,536.99,401.98,511.99,393.98,434.99,206.99,224.0,182.99,184.0,102.0,112.0,53.0,58.0,906.96,855.99,0.3,3.1,4.3,0.8,0.3,0.2,3.7,5.4,0.8,0.3
Belarus,1998.0,1941.0,88.0,91.0,191.0,198.0,290.0,391.0,639.0,600.0,400.0,421.0,344.0,358.0,209.0,206.0,304.0,274.0,8.0,9.0,820.0,771.0,0.2,4.0,3.5,0.5,0.2,0.2,5.2,5.2,0.5,0.2
